Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0 ,Africa,1/12/00,4.80%,,"1,646",,,"16,679",$19B,$407 ,4.80%,$14 ,,0.115,0%,,47,48,45,0%,1,0.464,0.507,0.028,46.9M,35.10%,,
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0 ,Africa,1/12/00,3.90%,,"1,049",,,814,$3B,"$1,030 ",2.10%,$22 ,,0.077,0%,0.22,52,53,51,2%,1,0.419,0.545,0.036,3.1M,58.70%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0 ,Africa,1/12/00,3.80%,,"6,791",,,"6,734",$10B,$646 ,6.50%,$42 ,,0.1,0%,,47,47,46,3%,1,0.421,0.55,0.029,16.1M,43.50%,$0B,$0B
Below Threshold,Above 3%,Djibouti,Low,$0 ,Africa,1/12/00,3.00%,,403,,,,$1B,$763 ,5.80%,$44 ,,0.08,0%,,57,59,55,0%,1,0.414,0.556,0.03,0.7M,76.50%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0 ,Africa,1/12/00,2.50%,,"141,326",,,"40,658",$100B,"$1,510 ",5.40%,$79 ,,0.036,1%,0.132,69,71,66,2%,1,0.354,0.592,0.053,66.1M,42.80%,$5B,$1B
Below Threshold,Above 3%,Equatorial Guinea,Low,$0 ,Africa,1/12/00,4.00%,,455,,,,$1B,"$2,019 ",2.40%,$57 ,,0.099,0%,0.22,48,49,46,1%,1,0.426,0.537,0.037,0.5M,38.80%,$0B,$0B
Below Threshold,Above 3%,Eritrea,Low,$0 ,Africa,1/12/00,4.00%,,609,,,708,$1B,$179 ,4.50%,$7 ,,0.058,0%,,56,58,54,,1,0.47,0.512,0.018,3.9M,17.60%,$0B,
Below Threshold,Above 3%,Ethiopia,Moderate,$0 ,Africa,1/12/00,4.40%,,"5,831",,,"25,242",$8B,$123 ,4.30%,$5 ,,0.09,0%,0.109,52,53,51,0%,1,0.466,0.503,0.031,66.0M,14.70%,$0B,$0B
Below Threshold,Above 3%,Gabon,Low,$0 ,Africa,1/12/00,3.40%,,"1,052",,,"1,463",$5B,"$4,135 ",2.90%,$118 ,,0.056,1%,0.22,60,61,59,10%,1,0.406,0.535,0.059,1.2M,80.10%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0 ,Africa,1/12/00,4.50%,,275,,,,$1B,$637 ,4.50%,$29 ,,0.063,1%,0.24,55,56,54,1%,1,0.459,0.514,0.027,1.2M,47.90%,,
Below Threshold,Above 3%,Ghana,Friendly,$0 ,Africa,1/12/00,3.50%,,"6,289",,,"7,736",$5B,$265 ,4.80%,$13 ,,0.065,0%,,57,58,56,1%,1,0.414,0.556,0.03,18.8M,43.90%,$0B,$0B
Below Threshold,Above 3%,Guinea,Low,$0 ,Africa,1/12/00,4.20%,,"1,280",,,,$3B,$342 ,5.60%,$19 ,,0.103,0%,0.194,51,51,51,1%,1,0.44,0.525,0.034,8.7M,31.00%,$0B,$0B
Below Threshold,Above 3%,Guinea-Bissau,Low,$0 ,Africa,1/12/00,4.20%,,147,,,,$0B,$284 ,4.90%,$16 ,,0.109,0%,,52,53,50,,1,0.435,0.534,0.031,1.3M,36.70%,,
Below Threshold,Above 3%,Kenya,Moderate,$0 ,Africa,1/12/00,3.90%,,"10,418",,,"14,055",$13B,$406 ,4.70%,$19 ,,0.069,0%,0.223,53,54,52,0%,1,0.442,0.531,0.028,31.3M,19.90%,$1B,$0B
Below Threshold,Above 3%,Lesotho,Moderate,$0 ,Africa,1/12/00,3.10%,,,,,,$1B,$415 ,6.90%,$29 ,,0.081,0%,0.171,48,48,47,1%,1,0.412,0.543,0.045,1.9M,19.50%,$0B,$0B
Below Threshold,Above 3%,Liberia,Low,$0 ,Africa,1/12/00,4.30%,,436,,,,$1B,$183 ,5.90%,$11 ,,0.119,0%,0.205,53,53,52,0%,1,0.432,0.537,0.031,2.9M,44.30%,,
Below Threshold,1.5-3%,Libya,Low,"$4,688 ",Africa,1/12/00,2.20%,,"47,114",,,"15,901",$34B,"$6,549 ",3.40%,$252 ,,0.024,0%,0.07,72,74,70,1%,1,0.333,0.628,0.039,5.2M,76.30%,$0B,$0B
Below Threshold,Above 3%,Madagascar,Moderate,$0 ,Africa,1/12/00,4.10%,,"1,874",,,,$4B,$246 ,5.00%,$12 ,,0.071,0%,0.265,59,60,57,0%,1,0.455,0.515,0.03,15.7M,27.10%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0 ,Africa,1/12/00,4.50%,,906,,,,$2B,$154 ,6.10%,$9 ,,0.103,0%,0.531,46,46,46,0%,1,0.458,0.511,0.031,11.3M,14.60%,$0B,$0B
Below Threshold,Above 3%,Mali,Low,$0 ,Africa,1/12/00,4.80%,,543,,,,$2B,$236 ,6.30%,$16 ,,0.116,0%,,49,49,49,0%,1,0.461,0.504,0.035,10.3M,28.40%,$0B,$0B
Below Threshold,Above 3%,Mauritania,Low,$0 ,Africa,1/12/00,3.80%,,"1,236",,,,$1B,$478 ,6.00%,$24 ,,0.076,0%,0.256,60,61,58,1%,1,0.428,0.54,0.032,2.7M,49.20%,,
Below Threshold,1.5-3%,Mauritius,Very Friendly,$0 ,Africa,1/12/00,1.70%,,"2,769",,,,$5B,"$3,861 ",3.70%,$146 ,,0.016,7%,0.208,72,75,68,15%,1,0.258,0.681,0.061,1.2M,42.70%,$1B,$0B
Below Threshold,1.5-3%,Morocco,Friendly,$0 ,Africa,1/12/00,2.20%,,"33,905",,,"10,238",$37B,"$1,289 ",4.20%,$54 ,,0.043,1%,0.133,69,70,67,8%,1,0.341,0.613,0.047,28.7M,53.30%,$2B,$1B
Below Threshold,Above 3%,Mozambique,Moderate,$0 ,Africa,1/12/00,4.40%,,"1,349",,,"7,173",$4B,$236 ,6.20%,$15 ,,0.114,0%,0.19,48,49,46,0%,1,0.438,0.53,0.032,18.3M,29.10%,$0B,$0B
Below Threshold,Above 3%,Namibia,Friendly,$0 ,Africa,1/12/00,3.20%,,"1,643",,,978,$4B,"$2,059 ",6.10%,$126 ,,0.049,2%,0.153,55,57,53,4%,1,0.405,0.562,0.033,1.9M,32.40%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0 ,Africa,1/12/00,5.30%,,796,,,,$2B,$164 ,6.40%,$10 ,,0.101,0%,,51,51,51,0%,1,0.479,0.495,0.025,11.0M,16.20%,$0B,$0B
Below Threshold,Above 3%,Nigeria,Moderate,$0 ,Africa,1/12/00,4.30%,,"79,182",,,"90,596",$46B,$378 ,4.60%,$17 ,,0.113,0%,0.213,47,47,46,0%,1,0.435,0.537,0.028,122.9M,34.80%,$0B,$1B
Below Threshold,Above 3%,Rwanda,Friendly,$0 ,Africa,1/12/00,4.10%,,686,,,,$2B,$207 ,4.20%,$9 ,,0.108,0%,0.17,48,49,47,1%,1,0.466,0.505,0.03,8.4M,14.90%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0 ,Africa,1/12/00,3.60%,,48,,,,$0B,$550 ,8.90%,$46 ,,0.058,5%,0.397,64,65,62,,1,0.44,0.52,0.04,0.1M,53.40%,$0B,$0B
Below Threshold,Above 3%,Senegal,Low,$0 ,Africa,1/12/00,4.00%,,"3,938",,,"2,398",$5B,$475 ,4.60%,$22 ,,0.069,0%,,58,59,56,3%,1,0.451,0.517,0.032,9.9M,40.30%,$0B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$4,688 ",Africa,1/12/00,1.90%,,565,,,,$1B,"$7,579 ",4.80%,$371 ,,0.012,7%,0.107,,,,33%,1,0.282,0.637,0.081,0.1M,50.10%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0 ,Africa,1/12/00,4.40%,,425,,,,$1B,$154 ,18.40%,$28 ,,0.141,0%,0.263,38,39,37,0%,1,0.43,0.546,0.025,4.1M,35.60%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,1/12/00,4.90%,,517,,,,,,,,,0.105,0%,,51,52,49,1%,1,0.472,0.499,0.029,7.4M,33.20%,,
Below Threshold,1.5-3%,South Africa,Very Friendly,$0 ,Africa,1/12/00,2.40%,,"368,611",,,"109,264",$133B,"$3,023 ",8.30%,$246 ,,0.052,5%,0.145,56,58,54,19%,1,0.33,0.636,0.034,44.0M,56.90%,$3B,$3B
Below Threshold,Above 3%,South Sudan,Low,,Africa,1/12/00,4.30%,,,,,,,,,,,0.11,,,49,50,48,,1,0.447,0.523,0.03,6.7M,16.50%,,
Below Threshold,Above 3%,Sudan,Moderate,$0 ,Africa,1/12/00,4.00%,,"5,534",,,"13,340",$12B,$442 ,3.40%,$15 ,,0.069,0%,,58,60,56,0%,1,0.437,0.533,0.03,27.7M,32.50%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0 ,Africa,1/12/00,3.30%,,"1,188",,,,$2B,"$1,433 ",5.30%,$75 ,,0.08,1%,0.14,49,49,48,3%,1,0.446,0.524,0.029,1.1M,22.70%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0 ,Africa,1/12/00,4.20%,,"2,651",,,"13,390",$10B,$299 ,3.40%,$10 ,,0.08,0%,0.216,50,51,49,0%,1,0.448,0.523,0.029,34.0M,22.30%,$0B,$0B
Below Threshold,Above 3%,Togo,Low,$0 ,Africa,1/12/00,3.90%,,"1,357",,,"2,111",$1B,$266 ,5.30%,$14 ,,0.077,1%,,54,54,53,1%,1,0.442,0.529,0.029,4.9M,32.90%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0 ,Africa,1/12/00,1.70%,,"19,923",,,"7,306",$21B,"$2,245 ",5.40%,$123 ,,0.026,3%,,73,75,71,1%,1,0.298,0.641,0.06,9.6M,63.40%,$2B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0 ,Africa,1/12/00,4.80%,,"1,533",,,,$6B,$255 ,6.60%,$16 ,,0.089,0%,0.229,48,48,48,1%,1,0.493,0.481,0.027,24.3M,12.10%,$0B,
Below Threshold,Above 3%,Zambia,Friendly,$0 ,Africa,1/12/00,4.50%,,"1,819",,,"6,244",$3B,$322 ,5.60%,$18 ,,0.1,0%,0.388,42,42,42,1%,1,0.457,0.515,0.027,10.1M,34.80%,$0B,$0B
Below Threshold,Above 3%,Zimbabwe,Low,$0 ,Africa,1/12/00,3.20%,,"13,887",,,"9,865",$7B,$535 ,,,,0.061,0%,0.682,44,44,44,2%,1,0.422,0.545,0.034,12.5M,33.80%,$0B,
Below Threshold,Above 3%,Afghanistan,Low,,Asia,1/12/00,5.00%,,781,,,,,,,,,0.095,,,55,56,54,,1,0.495,0.485,0.02,20.6M,21.30%,,
Below Threshold,Below 1.5%,Armenia,Very Friendly,$0 ,Asia,1/12/00,1.30%,,"3,465",,,"2,015",$2B,$621 ,6.30%,$39 ,,0.027,1%,0.316,72,75,68,1%,1,0.259,0.641,0.1,3.1M,64.70%,$0B,$0B
Below Threshold,1.5-3%,Azerbaijan,Friendly,$0 ,Asia,1/12/00,1.50%,,"29,508",,,"11,296",$5B,$655 ,4.70%,$30 ,,0.061,0%,0.197,67,70,64,5%,1,0.311,0.633,0.056,8.0M,51.40%,$0B,$0B
Below Threshold,1.5-3%,Bangladesh,Moderate,$0 ,Asia,1/12/00,2.70%,,"27,869",,,"18,591",$47B,$356 ,2.80%,$10 ,,0.064,0%,0.155,66,66,65,0%,1,0.37,0.59,0.041,132.4M,23.60%,$0B,$0B
Below Threshold,1.5-3%,Bhutan,Low,$0 ,Asia,1/12/00,2.80%,,400,,,,$0B,$778 ,6.70%,$52 ,,0.059,0%,0.16,60,60,60,,1,0.406,0.556,0.038,0.6M,25.40%,$0B,
Below Threshold,1.5-3%,Brunei,Friendly,"$14,064 ",Asia,1/12/00,2.30%,,"6,527",,,"2,385",$6B,"$18,087 ",3.00%,$543 ,,0.008,9%,0.055,76,78,74,29%,1,0.304,0.668,0.028,0.3M,71.20%,,
Below Threshold,1.5-3%,Cambodia,Moderate,$0 ,Asia,1/12/00,2.80%,,"1,977",,,"3,412",$4B,$299 ,6.30%,$19 ,,0.082,0%,,62,65,59,1%,1,0.408,0.554,0.038,12.2M,18.60%,$0B,$0B
Below Threshold,Below 1.5%,China,Friendly,$0 ,Asia,1/12/00,1.40%,,"3,405,180",,,"1,161,353","$1,200B",$950 ,4.60%,$43 ,,0.03,2%,0.059,73,74,71,7%,1,0.256,0.675,0.069,"1,262.6M",35.90%,$17B,$14B
Below Threshold,Below 1.5%,Georgia,Very Friendly,$0 ,Asia,1/12/00,1.20%,,"4,536",,,"2,869",$3B,$692 ,6.90%,$45 ,,0.031,1%,0.247,72,75,68,4%,1,0.219,0.656,0.125,4.4M,52.60%,$0B,$0B
Below Threshold,Below 1.5%,Hong Kong SAR,Very Friendly,"$23,440 ",Asia,1/12/00,0.80%,,"40,465",,,"13,392",$172B,"$25,806 ",,,,,28%,0.095,81,84,78,80%,1,0.173,0.717,0.11,6.7M,100.00%,$8B,$13B
Below Threshold,1.5-3%,India,Moderate,$0 ,Asia,1/12/00,2.60%,,"1,186,663",,,"457,198",$477B,$458 ,4.30%,$20 ,,0.067,1%,0.123,62,63,61,0%,1,0.342,0.614,0.044,"1,042.3M",27.70%,$4B,$4B
Below Threshold,1.5-3%,Indonesia,Moderate,$0 ,Asia,1/12/00,2.20%,,"263,419",,,"154,768",$165B,$790 ,2.00%,$15 ,,0.041,1%,0.185,67,69,65,2%,1,0.307,0.647,0.047,208.9M,42.00%,$5B,$3B
Below Threshold,Below 1.5%,Japan,Very Friendly,"$32,816 ",Asia,1/12/00,0.90%,,"1,219,589",,,"518,964","$4,730B","$37,282 ",7.60%,"$2,834 ",,0.003,30%,0.021,82,85,78,53%,1,0.146,0.682,0.172,126.9M,78.60%,$6B,$43B
Below Threshold,1.5-3%,Kazakhstan,Friendly,$0 ,Asia,1/12/00,1.50%,,"127,769",,,"35,679",$18B,"$1,229 ",4.20%,$52 ,,0.038,1%,,66,71,60,1%,1,0.277,0.655,0.068,14.9M,55.70%,$0B,$0B
Below Threshold,1.5-3%,North Korea,Not Clustered,,Asia,1/12/00,1.80%,,"76,699",,,"19,717",,,,,,0.045,,,65,69,61,,1,0.26,0.681,0.059,22.8M,59.40%,,
Below Threshold,Below 1.5%,South Korea,Very Friendly,"$9,376 ",Asia,1/12/00,1.30%,,"447,561",,,"188,161",$562B,"$11,955 ",4.30%,$491 ,,0.005,45%,0.085,76,80,72,58%,1,0.21,0.717,0.073,47.0M,79.60%,$9B,$8B
Below Threshold,1.5-3%,Kyrgyzstan,Friendly,$0 ,Asia,1/12/00,2.00%,,"4,529",,,"2,317",$1B,$280 ,4.70%,$13 ,,0.042,1%,0.519,69,72,65,0%,1,0.35,0.596,0.055,4.9M,35.30%,$0B,$0B
Below Threshold,Above 3%,Laos,Low,$0 ,Asia,1/12/00,3.10%,,972,,,,$2B,$321 ,3.30%,$11 ,,0.083,0%,0.32,62,63,60,0%,1,0.435,0.529,0.036,5.4M,22.00%,$0B,$0B
Below Threshold,Below 1.5%,Macao SAR,Not Clustered,"$14,064 ",Asia,1/12/00,0.90%,,"1,635",,,,$6B,"$14,128 ",,,,,14%,0.099,78,80,75,33%,1,0.228,0.698,0.074,0.4M,100.00%,$3B,
Below Threshold,1.5-3%,Malaysia,Very Friendly,$0 ,Asia,1/12/00,2.30%,,"126,603",,,"47,110",$94B,"$4,005 ",3.00%,$120 ,,0.009,21%,0.077,73,75,71,22%,1,0.333,0.628,0.038,23.4M,62.00%,$6B,$3B
Below Threshold,1.5-3%,Maldives,Friendly,$0 ,Asia,1/12/00,2.50%,,499,,,,$1B,"$2,289 ",7.10%,$162 ,,0.035,2%,0.13,70,70,69,3%,1,0.413,0.549,0.038,0.3M,27.70%,$0B,$0B
Below Threshold,1.5-3%,Mongolia,Friendly,$0 ,Asia,1/12/00,1.90%,,"7,506",,,"2,397",$1B,$474 ,4.70%,$22 ,,0.049,1%,0.37,63,66,60,6%,1,0.348,0.615,0.037,2.4M,57.10%,$0B,$0B
Below Threshold,1.5-3%,Myanmar,Low,,Asia,1/12/00,2.10%,,"10,088",,,"12,841",,,2.10%,$3 ,,0.059,,0.153,62,64,60,0%,1,0.307,0.645,0.047,48.5M,27.00%,$0B,$0B
Below Threshold,Above 3%,Nepal,Moderate,$0 ,Asia,1/12/00,3.30%,,"3,234",,,"8,108",$5B,$237 ,5.00%,$12 ,,0.06,0%,0.095,62,63,61,0%,1,0.404,0.558,0.038,23.2M,13.40%,$0B,$0B
Below Threshold,Above 3%,Pakistan,Moderate,$0 ,Asia,1/12/00,3.10%,,"106,449",,,"64,067",$74B,$514 ,3.00%,$15 ,,0.088,,,64,65,63,0%,1,0.415,0.546,0.039,143.8M,33.20%,$1B,$1B
Below Threshold,Above 3%,Philippines,Moderate,$0 ,Asia,1/12/00,3.00%,,"73,307",,,"39,872",$81B,"$1,043 ",3.20%,$33 ,,0.03,2%,0.109,67,70,64,8%,1,0.385,0.583,0.032,77.7M,48.00%,$2B,$2B
Below Threshold,Below 1.5%,Singapore,Very Friendly,"$23,440 ",Asia,1/12/00,1.20%,,"49,006",,,"18,692",$96B,"$23,793 ",2.70%,$662 ,,0.003,36%,0.058,78,80,76,70%,1,0.215,0.712,0.073,4.0M,100.00%,$5B,$5B
Below Threshold,1.5-3%,Sri Lanka,Friendly,$0 ,Asia,1/12/00,1.80%,,"10,161",,,"8,327",$16B,$855 ,3.70%,$32 ,,0.014,1%,0.162,72,75,68,2%,1,0.269,0.669,0.063,19.1M,18.40%,$0B,$0B
Below Threshold,Above 3%,Tajikistan,Moderate,$0 ,Asia,1/12/00,3.00%,,"2,237",,,"2,149",$1B,$139 ,4.60%,$6 ,,0.075,0%,0.256,64,68,60,0%,1,0.429,0.536,0.035,6.2M,26.50%,,
Below Threshold,1.5-3%,Thailand,Very Friendly,$0 ,Asia,1/12/00,1.50%,,"188,355",,,"72,284",$123B,"$1,973 ",3.40%,$67 ,,0.019,4%,0.078,71,75,67,5%,1,0.242,0.693,0.066,62.3M,31.40%,$10B,$3B
Below Threshold,Above 3%,Timor-Leste,Low,$0 ,Asia,1/12/00,4.30%,,,,,,$0B,$410 ,5.10%,$19 ,,0.084,,,60,61,58,,1,0.498,0.479,0.024,0.9M,24.30%,,
Below Threshold,1.5-3%,Turkmenistan,Not Clustered,$0 ,Asia,1/12/00,2.40%,,"35,365",,,"14,871",$3B,$645 ,3.90%,$44 ,,0.066,0%,,64,68,60,0%,1,0.363,0.594,0.043,4.5M,45.90%,,
Below Threshold,1.5-3%,Uzbekistan,Low,$0 ,Asia,1/12/00,2.10%,,"119,951",,,"50,757",$14B,$558 ,5.30%,$29 ,,0.053,1%,,67,70,64,0%,1,0.373,0.584,0.043,24.7M,37.40%,$0B,
Below Threshold,1.5-3%,Vietnam,Friendly,$0 ,Asia,1/12/00,1.70%,,"53,645",,,"28,736",$34B,$433 ,5.30%,$20 ,,0.027,0%,0.106,74,78,69,1%,1,0.316,0.62,0.064,77.6M,24.40%,,
Below Threshold,1.5-3%,Albania,Friendly,$0 ,Europe,1/12/00,1.90%,,"3,022",,,"1,763",$4B,"$1,193 ",6.40%,$70 ,,0.023,0%,0.221,74,77,71,1%,1,0.303,0.628,0.068,3.1M,41.70%,$0B,$0B
Below Threshold,Below 1.5%,Andorra,Not Clustered,"$14,064 ",Europe,1/12/00,1.10%,,524,,,,$1B,"$17,334 ",6.20%,"$1,330 ",,0.004,11%,,,,,36%,1,,,,0.1M,92.40%,,
Below Threshold,Below 1.5%,Austria,Very Friendly,"$23,440 ",Europe,1/12/00,1.00%,,"63,696",,,"28,558",$192B,"$23,965 ",10.00%,"$2,403 ",,0.005,34%,,78,81,75,76%,1,0.17,0.675,0.155,8.0M,65.80%,$11B,$7B
Below Threshold,Below 1.5%,Belarus,Friendly,$0 ,Europe,1/12/00,0.90%,,"53,469",,,"24,695",$13B,"$1,273 ",6.10%,$64 ,,0.011,2%,0.677,69,75,63,1%,1,0.186,0.679,0.134,10.0M,70.00%,$0B,$0B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$18,752 ",Europe,1/12/00,1.10%,,"115,709",,,"58,508",$233B,"$22,729 ",8.10%,"$1,845 ",,0.005,29%,0.08,78,81,75,55%,1,0.176,0.655,0.169,10.3M,97.10%,$7B,$9B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,$0 ,Europe,1/12/00,1.00%,,"23,223",,,"4,346",$6B,"$1,436 ",7.10%,$103 ,,0.008,1%,0.305,75,77,72,2%,1,0.202,0.691,0.107,3.8M,39.30%,$0B,$0B
Below Threshold,Below 1.5%,Bulgaria,Friendly,$0 ,Europe,1/12/00,0.90%,,"43,531",,,"18,688",$13B,"$1,579 ",6.20%,$98 ,,0.018,5%,0.113,72,75,68,9%,1,0.157,0.677,0.166,8.2M,68.90%,$1B,$1B
Below Threshold,Below 1.5%,Croatia,Friendly,"$4,688 ",Europe,1/12/00,1.00%,,"19,644",,,"7,790",$22B,"$4,862 ",7.80%,$377 ,,0.007,7%,0.121,73,77,69,23%,1,0.172,0.673,0.156,4.4M,55.60%,$3B,$1B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$9,376 ",Europe,1/12/00,1.30%,,"6,850",,,"2,137",$9B,"$9,875 ",5.80%,$744 ,,0.006,15%,0.08,78,80,76,23%,1,0.224,0.674,0.102,0.9M,68.60%,$2B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$4,688 ",Europe,1/12/00,0.90%,,"124,649",,,"40,993",$59B,"$5,734 ",6.30%,$361 ,,0.006,10%,0.072,75,78,72,42%,1,0.165,0.697,0.138,10.3M,74.00%,$3B,$1B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$28,128 ",Europe,1/12/00,1.30%,,"47,260",,,"18,634",$160B,"$29,965 ",8.70%,"$2,613 ",,0.005,39%,0.081,77,79,74,63%,1,0.185,0.667,0.149,5.3M,85.10%,$4B,$5B
Below Threshold,Below 1.5%,Estonia,Very Friendly,$0 ,Europe,1/12/00,1.00%,,"15,181",,,"4,715",$6B,"$4,063 ",5.30%,$213 ,,0.009,29%,0.074,71,76,65,41%,1,0.18,0.669,0.152,1.4M,69.40%,$1B,$0B
Below Threshold,Above 3%,Faeroe Islands,Not Clustered,"$18,752 ",Europe,1/12/00,,,711,,,,$1B,"$22,850 ",,,,,33%,,79,82,76,37%,1,,,,0.0M,36.30%,,
Below Threshold,Below 1.5%,Finland,Very Friendly,"$23,440 ",Europe,1/12/00,1.10%,,"52,141",,,"32,233",$122B,"$23,569 ",7.20%,"$1,700 ",,0.004,37%,0.056,78,81,74,72%,1,0.182,0.669,0.149,5.2M,82.20%,$2B,$2B
Below Threshold,Below 1.5%,France,Very Friendly,"$18,752 ",Europe,1/12/00,1.30%,,"365,560",,,"251,981","$1,330B","$21,835 ",10.10%,"$2,209 ",,0.004,14%,0.067,79,83,75,49%,1,0.189,0.65,0.16,60.9M,75.90%,$39B,$27B
Below Threshold,Below 1.5%,Germany,Very Friendly,"$18,752 ",Europe,1/12/00,0.90%,,"829,978",,,"336,584","$1,890B","$22,989 ",10.40%,"$2,387 ",,0.004,30%,0.096,78,81,75,58%,1,0.156,0.681,0.163,82.2M,73.10%,$25B,$58B
Below Threshold,Below 1.5%,Greece,Friendly,"$9,376 ",Europe,1/12/00,1.00%,,"91,616",,,"27,086",$124B,"$11,358 ",7.90%,$918 ,,0.007,9%,0.123,78,81,75,54%,1,0.152,0.68,0.168,10.9M,72.70%,$9B,$5B
Below Threshold,Below 1.5%,Hungary,Friendly,$0 ,Europe,1/12/00,1.00%,,"57,238",,,"24,999",$46B,"$4,543 ",7.20%,$326 ,,0.01,7%,0.126,72,76,67,30%,1,0.168,0.68,0.151,10.2M,64.60%,$4B,$2B
Below Threshold,Below 1.5%,Iceland,Very Friendly,"$28,128 ",Europe,1/12/00,1.40%,,"2,164",,,"3,100",$9B,"$30,929 ",9.50%,"$2,961 ",,0.003,45%,0.168,80,82,78,76%,1,0.233,0.651,0.116,0.3M,92.40%,$0B,$0B
